컷,시작,길이(초),방식,핵심,화면,그림 지시문,움직임,편집,완료
C060,4:54,6.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, the same island in winter, desaturated slate blue and ash grey, cold low sun, bare olive trees, light snow flurries, empty hillside, a bare olive tree, a torn cloth fluttering on a broken spear shaft stuck in the ground, no people",,,
C061,5:00,7.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, the same island in winter, desaturated slate blue and ash grey, cold low sun, bare olive trees, light snow flurries, close-up of a stylus carving into ancient Greek wooden wax writing tablet with a dark wax surface, bronze stylus, snowflakes landing on the wax",,,
C062,5:07,5.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, the same island in winter, desaturated slate blue and ash grey, cold low sun, bare olive trees, light snow flurries, close-up of Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt's clenched fist trembling",,오버레이 10 (메모)을 반투명하게 겹침,
C063,5:12,5.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, the same island in winter, desaturated slate blue and ash grey, cold low sun, bare olive trees, light snow flurries, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt looking up at Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch, eyes wet but angry",,,
C064,5:17,6.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, the same island in winter, desaturated slate blue and ash grey, cold low sun, bare olive trees, light snow flurries, Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch with a softer expression, snow passing through his translucent body",,,
C065,5:23,5.0,영상,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, infinite black void, single hard spotlight from above, faint haze, Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch carving into ancient Greek wooden wax writing tablet with a dark wax surface, bronze stylus, the grooves glowing gold","stylus moves, carved lines ignite with light",빛나는 홈 위에 '2026' 숫자를 얹기,
C066,5:28,7.0,영상,★★,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ocean-level shot, the bronze ram of an ancient trireme cutting through waves","the wooden trireme bow morphs into the massive steel bow of a modern aircraft carrier, spray explodes, camera pulls back",,
C067,5:35,7.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, stylized satellite map at night, dark ocean, softly glowing coastlines, tiny orange ship lights, infographic mood, top-down view of a narrow sea strait between two coastlines, dozens of orange tanker lights moving in a line",,오버레이 08 (호르무즈 해협 자막 바). 천천히 확대,
C068,5:42,5.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, stylized satellite map at night, dark ocean, softly glowing coastlines, tiny orange ship lights, infographic mood, closer top-down view of oil tankers crowded in the narrow strait, wakes glowing",,,
C069,5:47,6.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, stylized satellite map at night, dark ocean, softly glowing coastlines, tiny orange ship lights, infographic mood, a colossal shadowy silhouette of a man in a suit standing over the glowing map like a giant, face in darkness",,오버레이 02 (빈 게이지)를 실루엣 머리 위에,
C070,5:53,4.0,그래픽,,,,,붉은 게이지 상승 + 원자 모양 아이콘 번쩍,
C071,5:57,2.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, close-up of Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch, cold eyes",,,
C072,5:59,5.0,그래픽,,,,,금색 게이지 상승 + 붉은 선을 긋는 손 아이콘,
C073,6:04,3.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, close-up of Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch, cold eyes",,,
C074,6:07,4.0,그래픽,★,,,,오버레이 05 (안개 게이지). 안개가 천천히 흐르게 좌우로 살짝 이동,
C075,6:11,3.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, infinite black void, single hard spotlight from above, faint haze, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt squinting in confusion",,,
C076,6:14,8.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, infinite black void, single hard spotlight from above, faint haze, close-up of Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch, eyes glowing faintly blue",,,
C077,6:22,7.0,영상,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, dark room, a glowing oil price line chart on a monitor",the chart line peels off the screen and becomes a glowing amber thread floating into the air,,
C078,6:29,5.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, Texas plains at dusk, oil pump jacks and a shale drilling rig, a glowing amber thread passing through the sky",,,
C079,6:34,7.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, an oil tanker in a narrow strait at night, a giant blank insurance certificate with a red wax seal hovering over the water like a gate",,,
C080,6:41,7.0,영상,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, an LNG carrier ship with round tanks sailing toward an East Asian harbor at night, gold, amber and teal threads trailing behind it","ship sails forward, threads ripple in the wind",,
C081,6:48,8.0,영상,★★,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, pre-dawn darkness, deep navy and black, burning amber glow on the horizon, hundreds of glowing gold, amber and teal threads flying across a dark ocean, converging on a distant white-domed building glowing on the horizon","threads rush toward the horizon and converge, the dome glows brighter",,
C082,6:56,3.0,그래픽,,검은 화면,,,,
C083,6:59,6.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, infinite black void, single hard spotlight from above, faint haze, towering faceless figure, face always hidden in deep shadow, slender elegant silhouette, long tailored coat standing with his back turned in a black trench coat, single spotlight",,아주 천천히 확대,
C084,7:05,5.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, infinite black void, single hard spotlight from above, faint haze, a torn golden coat lying crumpled on the floor at the figure's feet, gold dust scattered",,,
C085,7:10,5.0,영상,★,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, infinite black void, single hard spotlight from above, faint haze, close-up of the shoulder seam of towering faceless figure, face always hidden in deep shadow, slender elegant silhouette, long tailored coat's black oil-sheen trench coat","the seam slowly tears open, threads snapping one by one",,
C086,7:15,0.04,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, infinite black void, single hard spotlight from above, faint haze, extreme close-up of a deep navy coat lining with a subtle repeating geometric pattern, faint glow",,1프레임(약 0.04초)만 끼워 넣기. 떡밥이니 절대 늘리지 않음,
C087,7:16,10.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, infinite black void, single hard spotlight from above, faint haze, towering faceless figure, face always hidden in deep shadow, slender elegant silhouette, long tailored coat standing with his back turned in a black trench coat, single spotlight",,"""금 / 석유 / 지금""에 맞춰 금빛 → 검은빛 → 청록빛 조명이 한 번씩 스침",
C088,7:26,7.0,영상,★,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, infinite black void, single hard spotlight from above, faint haze, towering faceless figure, face always hidden in deep shadow, slender elegant silhouette, long tailored coat beginning to turn his head toward the camera, face still in shadow","head turns slowly, light creeps toward his face",,
C089,7:33,9.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, infinite black void, single hard spotlight from above, faint haze, Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch standing alone in the spotlight, grave expression",,,
C090,7:42,6.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, dim storage backroom, single bare bulb, dust floating in light beams, stacked burlap sacks, old metal shelves in the evening, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt sitting on a sack with old worn cloth-bound hardcover book, faded dark blue cloth, frayed corners, blank gold-stamped cover, red ribbon bookmark closed on his lap, blue TV glow from the shop doorway",,,
C091,7:48,5.0,영상,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, small Seoul coffee bean shop interior, warm tungsten light, burlap coffee sacks, cramped wooden shelves, cozy but tired mood, TV screen showing an oil price graph, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt watching from the doorway","faint glowing threads drift out of the TV screen, he rubs his eyes",,
C092,7:53,5.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, dim storage backroom, single bare bulb, dust floating in light beams, stacked burlap sacks, old metal shelves, close-up of Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt, quiet determined face",,,
C093,7:58,6.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, dim storage backroom, single bare bulb, dust floating in light beams, stacked burlap sacks, old metal shelves, Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch leaning against a metal shelf behind Seojin, translucent, faint smile",,,
C094,8:04,9.0,그래픽,,,,,오버레이 13 (오늘의 한 문장 카드) + 마지막 3초에 오버레이 14 (고지),
C095,8:13,5.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, empty modern university lecture hall at dusk, green chalkboard, rows of wooden seats, warm window light, green chalkboard with two large chalk-drawn numbers area left blank",,칠판에 '16'과 '12'를 분필 글씨로 얹기,
C096,8:18,8.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, empty modern university lecture hall at dusk, green chalkboard, rows of wooden seats, warm window light, Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch standing at the chalkboard holding chalk",,,
C097,8:26,2.0,영상,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, empty modern university lecture hall at dusk, green chalkboard, rows of wooden seats, warm window light, close-up of chalk in Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch's fingers","chalk snaps in half, dust bursts",,
C098,8:28,6.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, empty modern university lecture hall at dusk, green chalkboard, rows of wooden seats, warm window light, Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch standing at the chalkboard holding chalk",,,
C099,8:34,6.0,그래픽,,,,,오버레이 15 (다음 화 예고 카드),
C100,8:40,15.0,그래픽,,,,,"오버레이 01 (로고)을 어두운 배경에 깔고, 오른쪽 절반은 비워 둠. YouTube 스튜디오에서 이 자리에 '구독' 버튼과 '재생목록'을 배치 (최종 화면은 영상 마지막 5~20초에만 넣을 수 있음)",
